COURSE_IDNUMBER,USER_USERNAME,USER_COMPLETED,USER_SCORE
https://xapi.percipio.com/xapi/channel/dc64ce30-e24a-11e6-93f3-0242c0a80605,student1,1,
https://xapi.percipio.com/xapi/course/b58e28a3-9c0d-4deb-93ed-cd4223b3a545,student1,1,53
https://xapi.percipio.com/xapi/course/aa093f80-bab1-11e7-8ae9-a5fb00220da4,psateamadmin,0,
https://xapi.percipio.com/xapi/channel/24299100-baaa-11e7-beb5-77c89fe19038,psateamadmin,1,
https://xapi.percipio.com/xapi/course/27691a50-266a-439b-88c5-b1b39899c389,psateamadmin,0,
https://xapi.percipio.com/xapi/channel/c28e4271-2c23-11e7-83d1-dba0327abefc,psateamadmin,1,
https://xapi.percipio.com/xapi/course/01407918-e98c-492c-ba78-1ec7e814c734,psateamadmin,0,
https://xapi.percipio.com/xapi/channel/78af57c0-e196-11e6-93f3-0242c0a80605,psateamadmin,1,
https://xapi.percipio.com/xapi/lc/e9139108-7ea6-4bc1-b0b4-388c30bf05f8,psateamadmin,1,
https://xapi.percipio.com/xapi/lc/d177432a-1ef2-4b58-b0ee-9170273cd97c,psateamadmin,0,
https://xapi.percipio.com/xapi/lc/fefa42ea-1568-458c-8477-be5c6ce66703,psateamadmin,1,
https://xapi.percipio.com/xapi/lc/74cc5aa4-5e47-40fe-a4b7-ef83fde1722a,psateamadmin,0,
https://xapi.percipio.com/xapi/lc/f64fc4be-e3b8-435f-bd13-865dd03eddce,psateamadmin,0,
https://xapi.percipio.com/xapi/channel/3a13566c-d330-429d-bbbe-896dfd4a983f,psateamadmin,1,
https://xapi.percipio.com/xapi/book/f9075617-21bf-46f2-aa5b-14a57b9475b9,psateamadmin,1,
https://xapi.percipio.com/xapi/channel/b1b712da-2f37-46a3-a388-da7e0cc612dc,student8,1,
https://xapi.percipio.com/xapi/book/f2213978-94bc-4ba1-98de-724cf33b6152,student8,1,
https://xapi.percipio.com/xapi/channel/e5b57bd1-1e07-11e7-985b-77e692128391,student8,1,
https://xapi.percipio.com/xapi/channel/948b7ea0-e197-11e6-91a7-0242c0a80704,student8,1,
https://xapi.percipio.com/xapi/book/faa66226-e5da-4cba-9735-4c338820f475,student8,1,
https://xapi.percipio.com/xapi/book/7c23412d-c077-4cb8-8d24-977d6f1af29c,student8,1,
https://xapi.percipio.com/xapi/channel/9c850481-0e5d-11e7-92d8-37e13b311be2,student8,1,
https://xapi.percipio.com/xapi/channel/3a13566c-d330-429d-bbbe-896dfd4a983f,student8,1,
https://xapi.percipio.com/xapi/book/f9075617-21bf-46f2-aa5b-14a57b9475b9,student8,1,
https://xapi.percipio.com/xapi/channel/e27c4b77-f05f-4781-8e1a-48926005796d,student8,1,
https://xapi.percipio.com/xapi/course/0006d023-6fcd-46ca-8b40-822312b60e2e,psateamadmin,0,
https://xapi.percipio.com/xapi/channel/dc64ce30-e24a-11e6-93f3-0242c0a80605,psateamadmin,1,
https://xapi.percipio.com/xapi/book/426d0e3d-8170-49de-ab6a-ab4024fa576a,student8,1,
https://xapi.percipio.com/xapi/book/9d13ff49-7efb-4352-880c-4fcae1d4250c,student8,1,
https://xapi.percipio.com/xapi/book/ef83fdb0-c4bc-11e7-9233-92959924aa1c,student8,1,
